Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2016-04-09,Aston Villa,Bournemouth,A,67,5.5,83,15.5,100,0
2016-04-09,Crystal Palace,Norwich,H,77,6.3,51,11.2,20,20
2016-04-09,Man City,West Brom,H,94,16.3,49,14.9,90,0
2016-04-09,Southampton,Newcastle,H,77,17.3,75,7.5,40,30
2016-04-09,Swansea,Chelsea,H,62,15.4,94,20.4,0,66.66666667
2016-04-09,Watford,Everton,D,68,9.1,97,11.9,0,66.66666667
2016-04-09,West Ham,Arsenal,D,95,19,98,18.6,10,90
2016-04-10,Liverpool,Stoke,H,108,16.8,74,17,50,30
2016-04-10,Sunderland,Leicester,A,78,11.4,85,25.6,14.28571429,42.85714286
2016-04-10,Tottenham,Man United,H,143,23.3,71,19.1,20,40
2016-04-13,Crystal Palace,Everton,D,79,8.2,96,11.5,28.57142857,42.85714286
2016-04-16,Chelsea,Man City,A,92,19,95,17.1,40,30
2016-04-16,Everton,Southampton,D,97,11.4,82,18.9,50,20
2016-04-16,Man United,Aston Villa,H,69,17.2,65,4.6,90,0
2016-04-16,Newcastle,Swansea,H,77,6.5,64,17.1,11.11111111,66.66666667
2016-04-16,Norwich,Sunderland,A,53,10.3,76,10.3,57.14285714,14.28571429
2016-04-16,West Brom,Watford,A,51,13.9,69,9,0,0
2016-04-17,Arsenal,Crystal Palace,D,100,18,78,8.5,85.71428571,0
2016-04-17,Bournemouth,Liverpool,A,82,17.3,107,18.1,0,100
2016-04-17,Leicester,West Ham,D,85,25.8,97,18.5,57.14285714,28.57142857
2016-04-18,Stoke,Tottenham,A,73,15.1,139,24,30,40
2016-04-19,Newcastle,Man City,D,83,8.7,100,19.4,0,100
2016-04-20,Liverpool,Everton,H,109,19.7,90,11.2,30,0
2016-04-20,Man United,Crystal Palace,H,67,18.9,72,8.4,71.42857143,0
2016-04-20,West Ham,Watford,H,97,17.9,68,11,0,66.66666667
2016-04-21,Arsenal,West Brom,H,103,17.3,54,12.3,70,10
2016-04-23,Aston Villa,Southampton,A,60,4.4,78,18.6,30,30
2016-04-23,Bournemouth,Chelsea,A,77,15.5,89,17.1,100,0
2016-04-23,Liverpool,Newcastle,D,113,21,84,9,50,30
2016-04-23,Man City,Stoke,H,96,18,72,13.9,50,20
2016-04-24,Leicester,Swansea,H,84,25.2,65,16,66.66666667,33.33333333
2016-04-24,Sunderland,Arsenal,D,75,12.3,107,18.7,0,70
2016-04-25,Tottenham,West Brom,D,141,25.2,52,11.3,40,10
2016-04-30,Arsenal,Norwich,H,107,17.9,57,9.3,66.66666667,11.11111111
